what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223935784081
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223935791765
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223935823986
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223935845536
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223935859250
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223936289240
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223936290132
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223936306444
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223936308933
opened,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1223936316056
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1223936316088
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223936316137
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1223936316712
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223936317069
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223936334181
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223936342691
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1223936346597
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1223936349061
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1223936351424
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1223936353045
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1223936356124
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1223936359987
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1223936386129
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1223936388001
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1223936389119
